PAIR_ID	SOURCE_FILE	EN_TEXT	ZH_TEXT	IT_TEXT	CITATION_EN	CITATION_ZH	EN_CHAR_LEN	ZH_CHAR_LEN
pair_0000_0000_111_241017	0000_0000_111_241017.txt	In quest of subtler objects, man felt, man realized, that the subtlest of this universe from which all waves, all expressions, emanate, is my Supreme Goal. And that Supreme Goal, that subtlest object, that perennial source of all inferences, is my goal, is my Parama Puruśa, is my Supreme Father. So a spiritual aspirant must always remember that his goal is not something physical or something psychic. His only goal is the hub of this universe, is the nucleus of this Cosmological order, is that Parama Puruśa, the Supreme Father. All human aspirations culminate at that very point. All human desires and longings coincide there at that particular desideratum.	在精益求精的過程中，人類了悟到至上意識才是宇宙間最精細的目標，祂是所有波動、表達之源。這所有微波元素永恆之源方才是我至上的目標，祂就是至上意識，是我至上的父親。所以，靈性修持者應牢記於心，此至上的目標絕非一物質或心理產物。生命唯一的目標就是宇宙的核心，就是至上意識、至上之父。人類所有的渴望在此達到極致，在此目標一切均皆合一。		Shrii Shrii Ánandamúrti | Date not known | 16 He Thinks and We Perceive | Ánanda Vacanámrtam Part 34	Shrii Shrii Ánandamúrti | 日期未知 | 16 究竟真理 | 喜悦甘露集 卷11，P.111	664	163
pair_0000_0000_134_250919	0000_0000_134_250919.txt	After having analysed the various types of ahaḿkára and their evil effects, we need to examine the ways and means of getting rid of these defects. Chaitanya Mahaprabhu has offered a psychological method to save oneself from the malady of ahaḿkára. Ahaḿkára is really a mental ailment, and a person suffering from this disease requires psychological treatment. The following shloka summarizes the line of treatment suggested by Chaitanya Mahaprabhu: Trńádapi suniicena taroriva sahiśńuna; Amanitá mánadeyaḿ kiirttaniya sadá Harih. [You must be more humble than the grass and more tolerant than the trees. You must give respect to those whom no one respects, and always do kiirtana to the Lord.]	分析各種我執所帶來的不良作用後，我們必須找出對治之道。Chaitanya Mahaprabhu提出一個心理對治法，以使人免於這種自負的「大頭症」。因為我執的確是一種心理疾病，心病需要心藥來治療。下述偈子就是他所提出的方法：Trńádapi suniicena taroriva sahiśńuna; Amanitá mánadeyaḿ kiirttaniya sadá Harih. 「你必須比小草謙卑，比大樹堅忍不拔。你必須尊敬那些不為人所尊敬的人，並且永遠唱頌至上的聖名(kiirtana)。」		Shrii Shrii Ánandamúrti | Date not known | 18 Safeguards against the Defects of Jiṋána and Karma | Ánanda Vacanámrtam Part 23	Shrii Shrii Ánandamúrti | 日期未知 | 19 擺脫知識與行動的缺點 | 喜悅甘露集 卷7，P.134~135	707	249
pair_0000_0000_152_240923	0000_0000_152_240923.txt	By becoming a true spiritual aspirant you know God in yourself. You know that truth in yourself. That is what your life is to be.	當你成為真正的靈性修持者時，你就會在你的內在了悟到上主。你會知道真理不假外求，就在你的裡面。這才是你的人生。		Shrii Shrii Ánandamúrti | Date not known | 28 Dharma Sádhaná | Ánanda Vacanámrtam Part 31	Shrii Shrii Ánandamúrti | 日期未知 | 28 法性修持 | 喜悅甘露集 卷9，P.152	129	54
pair_0000_0000_153_240821	0000_0000_153_240821.txt	The purpose of all creation, the purpose of all human beings, is to know what we are; that is why we are all born in this world. The very purpose of our human existence is to know what we are. There is no other purpose in this universe. Remember always that the very purpose of our creation is to know Him, the Supreme Entity which is in front of you all the time.	萬有眾生之目的、人類之目的皆在於了知自身為何，這就是我們來到這個世界的原因。所以我們存在的唯一目的為的就是了悟我們自己，再也沒有其他的目的了；永遠要記住萬有一切的目的就是了悟那個時時刻刻都呈現在你面前的祂。		Shrii Shrii Ánandamúrti | Date not known | 28 Dharma Sádhaná | Ánanda Vacanámrtam Part 31	Shrii Shrii Ánandamúrti | 日期未知 | 28 法性修持 | 喜悅甘露集 卷9，P.153~154	364	103
pair_0000_0000_156_240327	0000_0000_156_240327.txt	The very purpose of our human creation is to follow the true dharma; is to maintain spiritual practices in this very life, and to become one in Him. So dharma sádhaná means that by following dharma we follow our sádhaná, we follow our spiritual practices. By following the spiritual practices we become one with Him. That is the final victory. That is the final goal of all human beings on this planet. Having proper restraint over your animal nature, try to follow the true human nature; the true human nature is to know yourself.	遵循我們真正的法性、此生堅守靈性修持並且努力與至上意識合一就是我們人類真正的目的。遵循法性即靈性修持，因靈性修持而得以與祂合一，這就是法性修持之意；這是極致的成就，也是人類最終的目標。適當控制住你的動物傾向，努力奉行人類真正的法性，人類真正的法性就是了悟真我。		Shrii Shrii Ánandamúrti | Date not known | Dharma Sádhaná | Ánanda Vacanámrtam Part 31	Shrii Shrii Ánandamúrti | 日期未知 | 法性修持 | 喜悅甘露集 卷9，P.156	535	130
pair_0000_1955_006_240507	0000_1955_006_240507.txt	Happiness is derived by getting what one desires. If one does not get what one desires, one cannot be happy. One becomes sad and miserable. The clearly-reflected consciousness in people, which alone distinguishes them from animals, seeks the Cosmic Entity or the Infinite. And so people derive real happiness only when they can attain the Cosmic Entity or get into the process of attaining It.	快樂之產生是由於得到了想要的東西，一個人如果得不到所想要的東西就不會快樂。人內在清晰反映的意識，使其有別於動物，使其不斷地追求宇宙本體或永恆。因此人只有在達到宇宙本體或學會達到祂的方法時，才能得到真正的快樂。		Shrii Shrii Ánandamúti | 1955, Jamalpur | What Is Dharma? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúti | 1955年於Jamalpur | 何為法性 | 阿南達瑪迦：激揚生命的哲學，P.6	393	104
pair_0000_1955_015_231210	0000_1955_015_231210.txt	There are innumerable individual minds in this universe, and as there is a reflection [of Paramátman] on each one, there appear to be many átmans [unit consciousnesses]. The collective name for all these átmans or unit consciousnesses is Paramátman, Bhúmácaetanya, Brahma or Bhagaván.	在這宇宙中有無數個體，並且因為個體意識反映在每個人身上，因此顯得有許多自性本體或個體意識。所有這些自性本體或個體意識之總稱為「至上本體」、「宇宙意識」或「薄伽梵」。			1955年於加滿坡，何為法性，阿南達瑪迦：激揚生命的哲學，P.15	291	82
pair_0000_1955_021_241122	0000_1955_021_241122.txt	Only by advancing in the direction of Brahma, and by attaining this original form, can human beings be liberated from this illusory world. To attain oneʼs original self is to attain the universal Puruśa. The object-free unit soul and the object-free universal soul are one and the same entity.	只有朝著至上意識的方向前進，回到其原來的樣子，人才能從虛幻的世界中得到解脫。要達到我們本來的自性就是要達到宇宙意識。沒有客體的個體靈魂和沒有客體的宇宙靈魂是一體的。		Shrii Shrii Ánandamúrti | 1955 DMC, Monghyr | 04 Spiritual Practice and the Cosmic Science (Sádhaná and Madhuvidyá) | Subháśita Saḿgraha Part 1	Shrii Shrii Ánandamúrti | 1955年講於Monghyr瑜伽道場開幕典禮 | 02 靈性修持與大宇宙的科學 | 行動與解脫的奧秘，P.21	294	82
pair_0000_1955_055_240421	0000_1955_055_240421.txt	What Is This World? Ananda Marga: Elementary Philosophy	在完全不含振波微素的精細領域中，振波微素對於精細事物的認知完全用不上。要想能夠辨識精細事物，則需要我們客體心靈的內向波流（亦即bhávaná），而要知道粗鈍領域中的事物，則振波微素是絕對需要的。			1955 | 03 世界的本質 | 激揚生命的哲學，P.55	55	97
pair_0000_1955_066_240218	0000_1955_066_240218.txt	"1955, 'What Is This World?', ""Ananda Marga: Elementary Philosophy”"	俱屬性宇宙本體之所以在特定時期接受造化勢能的影響，其唯一目的就是要祂的每個個體意識都能成為跟祂一樣的解脫的意識。			1955，世界的本質，激揚生命的哲學，P.66	66	56
pair_0000_1955_071_240225	0000_1955_071_240225.txt	The effort with an intense desire to liberate itself from the bondage of Prakrti will only bring results if unit consciousness is alive to its subservient position and understands its bondage to the qualifying principles of Prakrti.	只有在個體意識覺察到自身所居地位的卑屈及了解到造化勢能所施加的束縛時，其強烈的慾望要使自己由造化勢能的束縛中解脫的努力才有結果。			1955，世界的本質，阿南達瑪迦：激揚生命的哲學，P.71	232	64
pair_0000_1955_071_240303	0000_1955_071_240303.txt	Both the realization of being in bondage and a methodical effort to obtain liberation are required by unit consciousness for attaining emancipation.	個體意識為要得到解脫，則對身受束縛的認知與解脫所需的努力方法都是需要的。			1955，世界的本質，阿南達瑪迦：激揚生命的哲學，P.71	148	36
pair_0000_1955_071_240802	0000_1955_071_240802.txt	The effort with an intense desire to liberate itself from the bondage of Prakrti will only bring results if unit consciousness is alive to its subservient position and understands its bondage to the qualifying principles of Prakrti.	在個體意識覺察到自身所居地位的卑屈及了解到造化勢能所施加的束縛時，其強烈的慾望要使自己由造化勢能的束縛中解脫的努力才有結果。		Shrii Shrii Ánandamúrti | 1955 | 03 What Is This World? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 03 世界的本質 | 阿南達瑪迦：激揚生命的哲學，P.71	232	62
pair_0000_1955_072_240310	0000_1955_072_240310.txt	Humans were created only to do sádhaná and attain emancipation.	人類被創造出來主要就是為了從事修持並達到解脫。			1955年，世界的本質，阿南達瑪迦：激揚生命的哲學，P.72	65	23
pair_0000_1955_074_240526	0000_1955_074_240526.txt	The last and most important difference between Brahma and human beings is the difference in their characteristic property, or dharma. The dharma of human beings is to do sádhaná and become a muktapuruśa (emancipated being), while that of Saguńa Brahma is to provide an opportunity to each and every one of its units to become a muktapuruśa.	宇宙本體與人之間最後也是最重要的不同處是在他們的特質或法性。人的法性是從事修持並成為一個解脫的人，而俱屬性宇宙本體的特性則是為祂的每個個體提供成為一個解脫者的機會。		"Shrii Shrii Ánandamúti | 1955, 'What Is This World?', ""Ananda Marga: Elementary Philosophy"""	Shrii Shrii Ánandamúti | 1955，世界的本質，激揚生命的哲學，P.74	345	82
pair_0000_1955_078_240811	0000_1955_078_240811.txt	Buddhitattva comes into being due to the qualifying influence of the sentient principle of Prakrti on the unit consciousness. This also brings about the feeling of “I” and creates the knowledge of existence of unit consciousness.	我覺是由於造化勢能的悅性力量影響個體意識而產生的。這同時產生了「我」的感覺及個體意識對存在的認識。		Shrii Shrii Ánandamúrti | 1955 | 04 Who Am I and What Am I? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 04 我是誰？我是什麼？ | 阿南達瑪迦：激揚生命的哲學，P.78	229	49
pair_0000_1955_089_240901	0000_1955_089_240901.txt	The process or reaction which restores mind to its original form, the deformity being due to the actions of mind, is experienced as karmaphala (result of actions). The intensity with which an action is performed and thus deforms the mind will be exhibited to the same extent in the reaction or karmaphala.	心靈由於行為而變形，若要回復至原來的形態，則必須經歷其反作用，此一過程即稱為因果業報。造成心靈變形的行為強度，在行為的反作用力（果報）發生時，也會展現出同樣的強度。		Shrii Shrii Ánandamúrti | 1955 | 05 What Is My Relation with the Universe and the Cosmic Entity? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 05 我與世界及宇宙本體之關係 | 阿南達瑪迦：激揚生命的哲學，P.89	305	82
pair_0000_1955_100_240610	0000_1955_100_240610.txt	Human beings themselves are answerable for their fate as it is their actions alone which create it. They alone will have to bear the consequences of all their actions. No one else can substitute for them. Their good deeds beget good results, while bad ones beget bad results, and they will have to experience both without any exception. This is the law of Prakrti and no one can change this law.	人本身應為其命運負責，因為是他自己的行為造成的。只有他本人須為其所有行為承受後果，沒有人能代替。好行為產生好的果報，不良的行為產生壞的結果，而當事者必須毫無例外的經歷二者。這是造化勢能的法則，沒有人能改變此法則。		Shrii Shrii Ánandamúti | 1955 | What Is My Relation with the Universe and the Cosmic Entity? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúti | 1955 | 我與世界及宇宙本體之關係 | 阿南達瑪迦：激揚生命的哲學，P.100	395	106
pair_0000_1955_100_240908	0000_1955_100_240908.txt	One experiences the result of oneʼs actions in a subsequent life and cannot then recollect the actions whose results bring happiness and grief, because a personʼs memory is not large enough to remember or know the deeds of their past lives. Reactions which humans experience were collected in previous lives, and in present life they cannot make out the cause of such experiences, and hence term these experiences as fate or the unknown future.	一個人在來世經歷其前一世的行為果報，不過在經歷前世果報時，人並無法記得給他帶來快樂及悲傷後果的前世行為，因為人的記憶並沒有強到足以記得或知道其前世的行為。人經歷的反作用由前一世累積下來，在這一世，他無法了解這種經歷的原因，因此稱此種經歷為命運或不可知的未來。		Shrii Shrii Ánandamúrti | 1955 | 05 What Is My Relation with the Universe and the Cosmic Entity? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955 | 05 我與世界及宇宙本體之關係  | 阿南達瑪迦：激揚生命的哲學，P.100	444	129
pair_0000_1955_104_240221	0000_1955_104_240221.txt	Good deeds are those which enlarge the reflection of Consciousness without leading one to go against the laws of Prakrti, called Vidyámáyá – which is associated with vaerágya and viveka. Vaerágya means to attempt to understand the proper use of things and to use them correctly. Discrimination between good and evil is viveka. Viveka is, therefore, necessary for following vaerágya, and vaerágya is a great contributory factor in achieving emancipation (mukti).	良好的行為就是能擴張意識的反映，即是符合「宇宙向心力」(Vidyámáyá)的行為，亦即不執著(Vaerágya)與明辨(Viveka) 。 不執著是要人了解對東西正確及適當的運用，能分别善惡即是明辨。 要遵循不執著先要能明辨，而不執著是達到解脫的必要因素。			1955，人應如何活在世界上，激揚生命的哲學，P.104	468	129
pair_0000_1955_105_241110	0000_1955_105_241110.txt	This right use of a thing is vaerágya. Right use of anything within the idea of vaerágya does not make oneʼs mind a slave to a constant longing for the object. One becomes indifferent to it. By developing indifference or not being constantly attracted by crude things, oneʼs mind becomes subtle.	在不執著的觀念下正確運用事物，可使人心不會成為欲望的奴隸，而會使一個人對於物質無所掛心，再藉著發展不執著或始終不受粗鈍事物所吸引，則心智將愈趨精細。		Shrii Shrii Ánandamúrti | 1955 | 06 How Should Human Beings Live In This World? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 06 人應如何活在世界上 | 阿南達瑪迦：激昂生命的哲學，P.105	297	74
pair_0000_1955_105_260528	0000_1955_105_260528.txt	Discrimination between good and evil is viveka. To consider the use of alcohol as an intoxicant to be evil and its use as a medicine to be good is viveka. The same thing by change in its use can become good or evil, and discrimination between the two is viveka. It is with discrimination (viveka) only that mind can determine the goodness or evil in a thing or in its uses. Viveka is, therefore, necessary for following vaerágya, and vaerágya is a great contributory factor in achieving emancipation (mukti). Thus vaerágya and viveka alone are good deeds or Vidyámáyá.	能分別善惡即是明辨，將酒精用來迷醉他人身心即是為惡，而當作藥用即是為善，這就是明辨之用。同一件東西的用途可好可壞，而能分別其中是非者即是明辨。唯具有明辨，心靈才能決定某物及其用途是好是壞。因此要遵循不執著先要能明辨，而不執著是達到解脫的必要因素。因此只有不執著及明辨才是良好的行為。	La discriminazione tra bene e male è viveka. Considerare cattivo l’uso dell’alcol come sostanza inebriante e considerare buono il suo uso come medicina è viveka. La stessa cosa, cambiando il suo utilizzo, può diventare buona o cattiva, e la discriminazione tra le due possibilità è viveka. È soltanto attraverso il discernimento (viveka) che la mente può determinare il bene o il male presenti in una cosa o nel suo utilizzo. Viveka è dunque necessario per seguire il vaerágya (l'uso corretto di ogni cosa), e il vaerágya è un importante fattore che contribuisce al raggiungimento della liberazione (mukti). Perciò soltanto vaerágya e viveka sono vere buone azioni, ovvero Vidyámáyá.	Shrii Shrii Ánandamúrti | 1955 | 06 How Should Human Beings Live In This World? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 06 人應如何活在世界上 | 阿南達瑪迦：激揚生命的哲學，P.105	574	141
pair_0000_1955_107_260422	0000_1955_107_260422.txt	The purpose of the Qualified Supreme Entity (Saguńa Brahma) in creating human beings is to make them follow Its course towards the subtle so as to take them back to the supreme rank. This forms the nature (dharma) of human beings. To get back to the supreme rank, effort for the elevation of unit consciousness is necessary, and actions should also be in keeping with the laws of Prakrti so that She does not create obstacles to progress. Hence the people of the first category, that is, good people, are natural (prákrta manuśya), as they work according to their nature (dharma), and they alone serve the purpose for which the Qualified Supreme Entity (Saguńa Brahma) made them.	俱屬性至上本體創造人的目的，乃是為了使人遵循祂的方針而走向精細，以便將他帶返最高的本源，這形成了人的本性。要回到最高的境界，則必須為提昇個體意識而努力，同時行為也應遵守造化勢能的法則，如此造化勢能才不致在前進的道路上製造障礙。因此，只有第一等的人才是合乎自然的，因為他們是依循著自己的本性而行，也只有他們才符合俱屬性至上本體創造他們的目的。	Lo scopo dell’Entità Suprema qualificata (Saguṇa Brahma) nel creare gli esseri umani è far sì che essi seguano il Suo percorso verso il sottile, così da ricondurli allo stato supremo. Questa è la natura (dharma) dell’essere umano. Per ritornare allo stato supremo è necessario uno sforzo volto all’elevazione della coscienza individuale, e le azioni devono essere in accordo con le leggi di Prakṛti, affinché essa non ponga ostacoli al progresso. Per questo motivo, le persone della prima categoria — cioè le persone buone — sono naturali (prākṛta manuṣya), poiché agiscono secondo la loro natura (dharma), e solo esse realizzano il fine per cui l’Entità Suprema qualificata (Saguṇa Brahma) le ha create.	Shrii Shrii Ánandamúrti | 1955 | 06 How Should Human Beings Live In This World? | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 06 人應如何活在世界上 | 阿南達瑪迦：激揚生命的哲學，P.107	683	170
pair_0000_1955_114_241227	0000_1955_114_241227.txt	The human mind is so made that it has the capacity of becoming like the object to which it is attached. The unit consciousness that wants to return to Cosmic Consciousness quickly has to become devoted to Cosmic Consciousness, and this is bhakti. “I am That” is the idea to which the unit consciousness has to be completely devoted in order to become That one day. Bhakti, devotion, or calling Cosmic Consciousness, thus leads one to become like That.	人類的心靈被造得有能力變成與它所專注的事物一樣。個體意識要想很快地回到宇宙意識也必須專注於宇宙意識，而這就是虔誠。「我就是祂」是個體意識必須完全專注的思想，以便有一天能成為「祂」。因此虔誠或呼喚宇宙意識是讓人變得像祂。		Shrii Shrii Ánandamúrti | 1955 | 06 How Should Human Beings Live In This World | Ananda Marga: Elementary Philosophy	Shrii Shrii Ánandamúrti | 1955年 | 06 人應如何活在世界上 | 阿南達瑪迦──激揚生命的哲學，P.114	451	109
pair_0000_1955_120_231203	0000_1955_120_231203.txt	The wish of the Qualified Supreme Entity is to obtain merger with the Non-Qualified Entity or the supreme rank for every one of Its units.	俱屬性至上本體的意願，是在使祂的每個個體與無屬性宇宙本體或無上的境界合一。			1955 | 〈人生之目標〉，《阿南達瑪迦：激揚生命的哲學》 P.120	138	37
